CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
QPN;OZAMIS;2402;RUSSELL;MENDOZA;LUN A VIE 08.30 A 13.00 / LUN A VIE 15.30 A 19.00 / SAB 08.30 A 13.00
QPO;ENTRE RIOS;171;NEUQUEN;NEUQUEN;LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
QPL;ADRE GOBERNADOR ELIAS;1379;CONCARAN;SAN LUIS;LUN A VIE 09.30 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 09.30 A 12.30 / SAB 17.00 A 21.00
QPT;BRASIL;849;SANTO TOME;CORRIENTES;LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 21.00
QPW;SARMIENTO;437;LOS CONDORES;CORDOBA;LUN A VIE 08.30 A 13.00 / LUN A VIE 16.00 A 20.00
QQB;TERAN BRIGIDO;343;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
QQC;FLORIDA;0;PURMAMARCA;JUJUY;LUN A SAB 08.30 A 21.30
QQE;SARMIENTO;436;LOS CONDORES;CORDOBA;LUN A VIE 08.30 A 13.00 / LUN A VIE 16.00 A 20.00
QQG;LAVALLE;431;SAN MARTIN;MENDOZA;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00
QQK;DE LA ROZA JOSE IGNACIO;2440;SAN JUAN;SAN JUAN;LUN A SAB 10.00 A 14.00 / LUN A SAB 18.00 A 22.00
QQL;RIOJA;87;SAN JUAN;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00
QRE;BELGRANO DOCTOR MANUEL;38;EL TRIUNFO;BUENOS AIRES;LUN A VIE 09.00 A 12.00 / LUN A VIE 16.00 A 19.30 / SAB 09.00 A 12.00
QRF;GUEMES GENERAL MARTIN MIGUEL DE;916;AYACUCHO;BUENOS AIRES;LUN A VIE 08.00 A 13.00
QRH;CAMPOS GASPAR;607;LOBERIA;BUENOS AIRES;LUN A SAB 06.30 A 22.00 / DOM 08.00 A 22.00
QRO;25 DE MAYO;27;ASCENCION;BUENOS AIRES;LUN A VIE 07.00 A 23.00 / SAB A DOM 09.00 A 23.00
QRP;PENACINO LUIS;816;PIEDRITAS;BUENOS AIRES;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.00 A 20.00
QRQ;CABRAL SARGENTO JUAN BAUTISTA;351;EMILIO BUNGE;BUENOS AIRES;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.00 A 20.00
QRR;ANZOATEGUI CORONEL;0;CORONEL CHARLONE;BUENOS AIRES;LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
QRS;25 DE MAYO;801;ROJAS;BUENOS AIRES;LUN A DOM 08.00 A 21.00
QRV;SAN MARTIN;302;LUJAN;BUENOS AIRES;LUN A VIE 09.00 A 17.00
QOQ;ALEM LEANDRO NICEFORO;1003;CIPOLLETTI;RIO NEGRO;LUN A VIE 07.30 A 19.00 / SAB 09.00 A 13.00
QSB;9 DE JULIO;970;SAN JUAN;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.00
QSC;PERON PRESIDENTE JUAN DOMINGO;768;CHILECITO;LA RIOJA;LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 08.00 A 13.00 / SAB 17.00 A 21.00
QBA;MONROE;5571;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 08.00 A 19.30 / SAB 10.00 A 15.00
QSK;OLIVARES;30;VILLA PARQUE SANTA ANA;CORDOBA;LUN A SAB 08.00 A 21.00
QSN;SAN MARTIN;0;SOL DE JULIO;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.30 A 21.00
QSQ;DE LAS AMERICAS;2425;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 13.00 / LUN A VIE 15.00 A 19.30
QSU;CARBAJAL VITELMO;100;ARRECIFES;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.00 / SAB 09.00 A 13.00
QSY;CHILE;141;JUNIN;BUENOS AIRES;LUN A SAB 08.30 A 16.00
QSZ;QUINTANA MANUEL;630;TANDIL;BUENOS AIRES;LUN A VIE 08.00 A 20.00 / SAB 09.00 A 13.00
QRA;CAMPERO DOCTOR MIGUEL;0;SANTA ROSA DE LEALES;TUCUMAN;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.00 A 20.30
QQX;SANTA FE;338;CORDOBA;CORDOBA;LUN A VIE 10.00 A 14.00 / LUN A VIE 16.00 A 19.00 / SAB 10.00 A 14.00
QQZ;BARRIO 24 DE SEPTIEMBRE;0;VILLA BELGRANO;TUCUMAN;LUN A VIE 16.30 A 20.30 / LUN A SAB 08.00 A 13.00
QTI;RAWSON GUILLERMO;937;SAN JUAN;SAN JUAN;LUN A VIE 08.00 A 16.00
QNJ;ROCAMORA CORONEL TOMAS DE;176;GUALEGUAYCHU;ENTRE RIOS;LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00
QUI;SACO VIEJO;0;SAN ANTONIO ESTE;RIO NEGRO;LUN A VIE 07.00 A 13.00
QUJ;RIVADAVIA;325;INGENIERO HUERGO;RIO NEGRO;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
GXF;OROÑO NICASIO;1163;ROSARIO;SANTA FE;LUN A VIE 07.00 A 17.30
QUP;SARMIENTO DOMINGO FAUSTINO;223;TRELEW;CHUBUT;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 18.30
QUO;MAYO GREGORIO;242;RAWSON;CHUBUT;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 18.30
QUQ;MITRE BARTOLOME;401;PUERTO MADRYN;CHUBUT;LUN A SAB 09.00 A 12.30 / LUN A SAB 16.30 A 18.30
QUZ;21;1070;LAS TONINAS;BUENOS AIRES;LUN A SAB 08.00 A 22.00
QVA;21 DE FEBRERO;0;LAS TAPIAS;SAN JUAN;LUN A VIE 08.00 A 13.30 / LUN A VIE 17.00 A 21.30 / SAB 08.00 A 13.30
QVB;ESPAÑA;480;SAN LUIS;SAN LUIS;LUN A VIE 08.00 A 18.00
QVC;ASIA;287;VILLA MERCEDES;SAN LUIS;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.30 A 12.30
QEU;LAVALLE GENERAL JUAN;2784;GOBERNADOR VIRASORO;CORRIENTES;LUN A VIE 08.00 A 12.00 / LUN A VIE 17.30 A 20.30 / SAB 09.00 A 12.30 / SAB 17.30 A 20.30
QUS;RIVADAVIA;1815;SAN LUIS DEL PALMAR;CORRIENTES;LUN A DOM 07.30 A 24.00
QUV;NEWBERY JORGE;70;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.00
QUW;GUALEGUAYCHU;580;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.00
QUX;CHURRUARIN;2207;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.00
QVF;QUEBRACHO COLORADO;1349;LA RIOJA;LA RIOJA;LUN A VIE 09.00 A 12.30 / LUN A VIE 18.00 A 21.30
QVG;SAN MARTIN;251;CHAPANAY;MENDOZA;LUN A VIE 17.00 A 20.00 / LUN A SAB 09.00 A 13.00
QVI;ISELIN RODOLFO;131;SAN RAFAEL;MENDOZA;LUN A VIE 17.30 A 19.30
QVM;ZANNI COMODORO PEDRO LUIS;1253;PARANA;ENTRE RIOS;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 20.00
QVN;SAN MARTIN;64;SAN GUILLERMO;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.30
QVO;FERREYRA ALFREDO JOSE;712;MERCEDES;CORRIENTES;LUN A VIE 08.00 A 12.00 / LUN A VIE 17.00 A 21.00 / SAB 08.00 A 12.00
QPR;RIVADAVIA;10705;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.30 A 17.30
QVS;LUNA;0;ULLUM;SAN JUAN;LUN A DOM 08.00 A 22.00
QVT;VERA OCAMPO RAUL;0;LA RIOJA;LA RIOJA;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.30 A 21.00
QVD;24;179;PEDRO LURO;BUENOS AIRES;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.00 A 19.30 / SAB 09.00 A 12.30
QVE;MORENO DOCTOR MARIANO;990;PEREZ MILLAN;BUENOS AIRES;LUN A SAB 08.00 A 11.30 / LUN A SAB 17.00 A 21.00
QVX;659;739;PARQUE SICARDI;BUENOS AIRES;LUN A VIE 09.00 A 13.00
QVZ;EDISON THOMAS ALVA;3086;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
QWA;COLECTORA;98;GUAMINI;BUENOS AIRES;LUN A SAB 09.00 A 12.00
QWE;GRANVILLE COMANDANTE;2260;RAFAEL CASTILLO;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 09.00 A 12.00
QWF;FLORES GENERAL VENANCIO;3137;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 14.00
QWH;VERA;423;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 17.30
QWI;ESPINOSA LUIS;1606;INGENIERO ADOLFO SOURDEAUX;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00 / SAB 16.00 A 20.00
QWJ;MARTIN FIERRO;238;TUPUNGATO;MENDOZA;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.00
QWK;BELGRANO GENERAL MANUEL;2442;TUPUNGATO;MENDOZA;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
QWL;IRAGORRE HUGO;0;ZONDA;SAN JUAN;LUN A SAB 08.00 A 12.00 / LUN A SAB 17.00 A 21.00
QSA;PRINGLES;2525;EL VOLCAN;SAN LUIS;LUN A VIE 09.30 A 13.30 / LUN A VIE 16.30 A 20.30
QUD;49;0;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 08.00 A 13.30 / LUN A VIE 18.00 A 21.00
QUF;RAWSON;1120;VILLA ABERASTAIN;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 18.00 A 20.30 / SAB 10.00 A 13.00
QWT;BANDERA DE LOS ANDES;9699;RODEO DE LA CRUZ;MENDOZA;LUN A VIE 16.00 A 19.00 / LUN A SAB 08.30 A 13.30
QWW;COMUNA RURAL;0;PASO DEL SAPO;CHUBUT;LUN A VIE 08.00 A 13.00
QTL;VIAMONTE GENERAL JUAN JOSE;206;CORDOBA;CORDOBA;LUN A VIE 08.00 A 13.00
QWX;COMECHINGONES;0;VILLA AMANCAY;CORDOBA;LUN A VIE 08.00 A 13.00
QTR;AGUIRRE FRANCISCO DE;1971;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A SAB 08.30 A 14.00 / LUN A SAB 18.00 A 23.00 / DOM 09.00 A 14.00
QXD;25 DE MAYO;578;TAPALQUE;BUENOS AIRES;LUN A SAB 08.00 A 20.00
QXF;32;1006;LA PLATA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
QXN;BAIGORRIA JUAN BAUTISTA;730;ROSARIO;SANTA FE;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 12.30
QXM;SAN MARTIN;783;RECONQUISTA;SANTA FE;LUN A VIE 08.00 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00
QXP;SAN MARTIN GENERAL JOSE DE;0;LABARDEN;BUENOS AIRES;LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
QXT;ECHEVERRIA ESTEBAN;6150;GREGORIO DE LAFERRERE;BUENOS AIRES;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
QUC;CASAS CASIANO;1705;ROSARIO;SANTA FE;LUN A SAB 09.30 A 20.30
QYB;BELGRANO MANUEL;0;MEDIA AGUA;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00 / SAB 16.30 A 21.00
QYK;ESPAÑA;716;SALTO;BUENOS AIRES;LUN A VIE 08.30 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.30 A 12.00
QXG;SAN MARTIN GENERAL JOSE DE;1359;TUNUYAN;MENDOZA;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.30
QXK;510;0;ASTICA;SAN JUAN;LUN A SAB 09.00 A 12.30 / LUN A SAB 18.00 A 22.00
QXL;15;22;PERDRIEL;MENDOZA;LUN A SAB 09.30 A 13.00 / LUN A SAB 17.30 A 20.00
QYM;CORRIENTES;6301;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 17.00
QYP;SARMIENTO DOMINGO FAUSTINO;145;GENERAL FERNANDEZ ORO;RIO NEGRO;LUN A VIE 17.30 A 20.00 / LUN A SAB 09.30 A 12.30
QYR;RECTA MARTINOLLI;8144;CORDOBA;CORDOBA;LUN A VIE 08.00 A 21.00 / SAB 09.00 A 13.30
QYT;OYOLA JOSE JESUS;0;LA RIOJA;LA RIOJA;LUN A VIE 09.00 A 17.00 / LUN A VIE 18.00 A 22.00
QYU;B° VIRGEN DE LA MERCED;0;PAGANCILLO;LA RIOJA;LUN A DOM 09.30 A 13.30
QYW;URQUIZA GENERAL JUSTO JOSE DE;512;LOS TOLDOS;BUENOS AIRES;LUN A VIE 06.30 A 21.30 / SAB 16.30 A 20.30
QYX;LAFALCE DARDO;120;SALTO;BUENOS AIRES;LUN A SAB 08.30 A 12.00 / LUN A SAB 16.00 A 20.00
QYY;QUIROGA BRIGADIER FACUNDO;493;QUIROGA;BUENOS AIRES;LUN A VIE 07.00 A 13.00
QTU;SARAVIA CANEPA HUGO;166;CERRILLOS;SALTA;LUN A VIE 09.00 A 13.00
QZE;17;0;SANTA MARIA;CATAMARCA;LUN A VIE 08.00 A 14.00 / LUN A VIE 17.00 A 21.00
QZG;MAIPU;1310;FLORIDA;BUENOS AIRES;LUN A VIE 10.00 A 18.00 / SAB 10.00 A 14.00
QZK;DORREGO CORONEL MANUEL;96;DORREGO;MENDOZA;LUN A VIE 09.30 A 18.30
QZM;LOS PINOS ESQ NTRO SEÑOR DE LA SALUD;0;ALPACHIRI;TUCUMAN;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 20.00
QZN;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;0;LAMADRID;TUCUMAN;LUN A SAB 08.00 A 20.00 / DOM 09.00 A 20.00
QZO;CORNEJO TRISTAN;385;BALNEARIA;CORDOBA;LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
QZP;JUAN XXIII;1115;NEUQUEN;NEUQUEN;LUN A VIE 17.30 A 21.00 / LUN A VIE 10.30 A 16.00
QZQ;CHILE;475;NEUQUEN;NEUQUEN;LUN A VIE 09.00 A 18.00 / SAB 10.00 A 19.00
QUG;ESCALADA REMEDIOS DE;2557;DORREGO;MENDOZA;MAR A SAB 19.00 A 21.30 / MAR A SAB 11.30 A 14.00
QZT;RIVADAVIA BERNARDINO;1;QUIMILI;SANTIAGO DEL ESTERO;LUN A DOM 08.00 A 22.00
RAC;SARMIENTO;3233;SANTA LUCIA;SAN JUAN;LUN A VIE 07.00 A 24.00 / SAB 07.00 A 24.00 / DOM 07.00 A 24.00
QZX;MITRE;0;SAN AGUSTIN DEL VALLE FERTIL;SAN JUAN;LUN A DOM 18.00 A 22.00 / LUN A DOM 10.00 A 13.30
QZY;GOMEZ GOBERNADOR CRISANTO;373;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 08.30 A 13.00 / LUN A VIE 17.30 A 20.30 / SAB 08.30 A 13.00 / SAB 17.30 A 20.30
QTP;QUARANTA AGUSTIN;1141;ETRURIA;CORDOBA;LUN A VIE 08.00 A 12.00 / LUN A VIE 15.00 A 19.00
QXR;SAN CARLOS;6342;VIRREY DEL PINO;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 18.30 / SAB 09.00 A 12.00
RAL;2 DE ABRIL;845;GENERAL PINTO;BUENOS AIRES;LUN A SAB 10.00 A 12.00 / LUN A SAB 16.00 A 21.00
RAS;URQUIZA GENERAL JUSTO JOSE DE;327;VILLA NUEVA;MENDOZA;LUN A VIE 09.00 A 12.30 / LUN A VIE 14.00 A 19.00
RAT;ESPAÑA;581;GENERAL CABRERA;CORDOBA;LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 21.00 / DOM 10.00 A 12.00
RAU;SAN MARTIN GENERAL JOSE DE;173;SAN JOSE DE METAN;SALTA;LUN A SAB 08.00 A 22.00
RAV;BATALLA DE SALTA;417;SALTA;SALTA;LUN A SAB 09.00 A 14.00 / LUN A SAB 16.30 A 21.30 / DOM 10.00 A 13.00
QTM;SAN LORENZO;154;VILLA HUIDOBRO;CORDOBA;LUN A VIE 09.30 A 12.30 / LUN A VIE 17.00 A 20.30
QTN;9 DE JULIO;1732;MONTE MAIZ;CORDOBA;LUN A DOM 08.30 A 22.00
QXX;MONTAL MADRE PAULA;49;PAMPA DE LOS GUANACOS;SANTIAGO DEL ESTERO;LUN A SAB 07.00 A 12.30 / LUN A SAB 17.00 A 21.00
QZH;BULNES;1096;LA RIOJA;LA RIOJA;LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00 / SAB 17.00 A 22.00
RBD;HONDURAS;25;VILLA CACIQUE;BUENOS AIRES;LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00
RBK;COSTANERA 3;0;CHIMBAS;SAN JUAN;LUN A VIE 08.00 A 15.00 / LUN A VIE 18.00 A 22.00 / SAB 08.00 A 14.00
RBM;BELGRANO GENERAL MANUEL;398;CHEPES;LA RIOJA;LUN A DOM 00.00 A 23.59
RBN;SAN NICOLAS;535;CHILECITO;LA RIOJA;LUN A VIE 08.00 A 14.00 / LUN A VIE 18.00 A 23.00 / SAB 09.00 A 23.00 / DOM 10.00 A 22.00
RBS;ALSINA;1796;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A DOM 08.00 A 24.00
RBT;ALBERDI;0;MALBRAN;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 12.00 / LUN A SAB 17.00 A 21.00
RBU;BUENOS AIRES PROVINCIA DE;240;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 10.00 A 14.00 / LUN A VIE 17.00 A 21.00 / SAB 10.00 A 14.00
RBW;YRIGOYEN PRESIDENTE HIPOLITO;1206;LOBOS;BUENOS AIRES;LUN A SAB 09.00 A 18.00
RBP;ARTIGAS GENERAL JOSE GERVASIO;0;GUALEGUAYCHU;ENTRE RIOS;LUN A VIE 08.00 A 17.00 / SAB 08.00 A 12.00
RCE;CABOT COMANDANTE JUAN MANUEL;1776;RAWSON;SAN JUAN;LUN A VIE 09.00 A 14.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 14.00
RAG;RUTA NACIONAL 12 KM 456;0;SAUCE MONTRULL;ENTRE RIOS;LUN A VIE 08.00 A 12.00
QTX;SARMIENTO PRESIDENTE DOMINGO FAUSTINO;301;BIGAND;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.00
QTZ;LOPEZ BRIGADIER ESTANISLAO;191;BOMBAL;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.00
QUA;ITALIA;609;CAFFERATA;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.00
QTY;SAN MARTIN;623;CHAÑAR LADEADO;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.00 / SAB 17.00 A 20.00
QTW;BUENOS AIRES;848;FIRMAT;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.00 / SAB 17.00 A 20.00
RCN;GIORDANO HERMINIO JUAN;1595;RAFAELA;SANTA FE;LUN A VIE 08.30 A 12.00 / LUN A VIE 16.30 A 20.30 / SAB 08.30 A 12.00
RCO;ALBERDI JUAN BAUTISTA;2079;COLON;ENTRE RIOS;LUN A VIE 08.00 A 14.00 / LUN A VIE 17.00 A 20.00
RCS;FRANCIA REPUBLICA DE;3156;FORMOSA;FORMOSA;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 15.00
RCT;LIBERTADOR SAN MARTIN;2017;SANTA LUCIA;SAN JUAN;LUN A VIE 09.00 A 13.00 / SAB 09.00 A 13.00
RCW;OCAMPO DOCTOR ENRIQUE;480;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 19.00
RCY;12 DE OCTUBRE;0;SUMALAO;CATAMARCA;LUN A VIE 08.00 A 23.00
RCZ;BELGRANO MANUEL;664;TRELEW;CHUBUT;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 12.00 / SAB 16.00 A 19.00
RBH;NICARAGUA;114;VIEDMA;RIO NEGRO;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 19.00
RDB;YRIGOYEN HIPOLITO;2440;TRELEW;CHUBUT;LUN A VIE 09.00 A 20.00
RDC;DON BOSCO;2121;ESQUEL;CHUBUT;LUN A VIE 12.00 A 19.00
RBZ;JUFRE JUAN;447;VILLA SANTOS TESEI;BUENOS AIRES;LUN A VIE 17.00 A 19.00 / LUN A SAB 09.00 A 13.00
REN;TEJEDOR DOCTOR CARLOS;2035;MAR DEL PLATA;BUENOS AIRES;LUN A SAB 09.00 A 19.00
RDH;LIBERTADOR GENERAL SAN MARTIN;3916;SAN JUSTO;BUENOS AIRES;LUN A VIE 08.00 A 19.00 / SAB 08.00 A 13.00
RDI;LARRALDE CRISOLOGO;1211;GERLI;BUENOS AIRES;LUN A VIE 08.00 A 20.00 / SAB 08.00 A 13.00
RBX;GUEMES GENERAL MARTIN MIGUEL DE;153;ORIENTE;BUENOS AIRES;LUN A DOM 08.00 A 13.00
RDK;VELEZ SARSFIELD;30;TEMPERLEY;BUENOS AIRES;LUN A VIE 08.00 A 20.00 / SAB 08.00 A 13.00
REA;ALDABE JOAQUIN;1490;ROBERTS;BUENOS AIRES;LUN A VIE 08.30 A 13.00 / LUN A VIE 17.30 A 20.30 / SAB 09.00 A 12.00 / SAB 18.00 A 20.00
REE;ALVEAR GENERAL CARLOS MARIA DE;110;GENERAL VILLEGAS;BUENOS AIRES;LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 20.00
REH;RUTA NACIONAL 40 S/N;0;SALICAS;LA RIOJA;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.30 A 21.30
RDM;LIBANO REPUBLICA DEL;3338;RAWSON;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.30
REG;BENAVIDEZ NAZARIO;4996;RIVADAVIA;SAN JUAN;LUN A VIE 09.30 A 13.30 / LUN A VIE 18.00 A 21.30 / SAB 09.30 A 13.30 / SAB 18.00 A 21.30
RDF;AMERICA S/N;0;ICAÑO;CATAMARCA;LUN A SAB 09.00 A 14.00 / LUN A SAB 16.00 A 20.00
RAN;CABILDO;1350;SAN RAFAEL;MENDOZA;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00
RDE;25 DE MAYO;101;SAN MARTIN;MENDOZA;LUN A VIE 08.00 A 14.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 14.00
RBI;BELGRANO GENERAL MANUEL;380;COMANDANTE LUIS PIEDRABUENA;SANTA CRUZ;LUN A DOM 09.00 A 24.00
REF;IRIGOYEN DOCTOR BERNARDO DE;82;SAN RAFAEL;MENDOZA;LUN A VIE 08.00 A 21.00 / SAB 09.00 A 13.30 / SAB 17.00 A 20.30
RAK;NUÑEZ CABEZA DE VACA ALVAR;84;LEANDRO N ALEM;MISIONES;LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
RDR;DE LOS PIONEROS;7598;SAN CARLOS DE BARILOCHE;RIO NEGRO;LUN A VIE 16.00 A 20.00 / LUN A SAB 10.00 A 13.30
RAJ;RIVADAVIA;441;ANDINO;SANTA FE;LUN A VIE 16.00 A 21.00 / LUN A VIE 08.30 A 14.00
RDX;RIOJA;627;ALICIA;CORDOBA;LUN A VIE 08.00 A 12.00 / LUN A VIE 15.00 A 18.00
RER;VIDAL MAESTRO;1687;CORDOBA;CORDOBA;LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 20.00
RET;SANTA ANA;5983;CORDOBA;CORDOBA;LUN A VIE 17.00 A 20.00 / LUN A SAB 09.00 A 13.00
REK;LOS NOGALES;2322;SANTA LUCIA;SAN JUAN;LUN A DOM 09.00 A 23.00
RFB;CONSTITUCION;1792;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 07.00 A 18.00
RFE;BELGRANO;0;LAS PLUMAS;CHUBUT;LUN A VIE 08.00 A 20.00
RFH;13118;3754;ROSARIO;SANTA FE;LUN A SAB 08.00 A 13.30 / LUN A SAB 17.30 A 21.30
RFN;SAN LORENZO;835;CORRIENTES;CORRIENTES;LUN A VIE 08.00 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 12.30
RFO;ALVEAR GENERAL CARLOS MARIA DE;1150;RAUCH;BUENOS AIRES;LUN A VIE 08.00 A 12.00
REM;MENDOZA;4000;RAWSON;SAN JUAN;LUN A SAB 09.00 A 13.00 / LUN A SAB 18.00 A 21.00
RFQ;MITRE;902;CHIVILCOY;BUENOS AIRES;LUN A VIE 07.00 A 14.00
RFR;SEGURA ALFEREZ A;164;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 18.30
RFT;CABOT COMANDANTE JUAN MANUEL;2024;RIVADAVIA;SAN JUAN;LUN A VIE 17.30 A 21.00 / LUN A SAB 09.00 A 13.00
RFY;ALTOS HORNOS ZAPLA;1601;SAN FRANCISCO DEL MONTE;MENDOZA;LUN A VIE 09.00 A 17.00 / SAB 09.00 A 12.00
RFZ;JACHAL;342;RAWSON;SAN JUAN;LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 20.00
RGB;BENAVIDEZ NAZARIO;5698;RIVADAVIA;SAN JUAN;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
RIJ;BRAVO MARIO;1540;PIÑEYRO;BUENOS AIRES;LUN A VIE 09.00 A 18.30 / SAB 09.00 A 14.00
RIC;ALIGHIERI DANTE;1737;CASILDA;SANTA FE;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.30
