CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
CG9;URQUIZA GENERAL JUSTO JOSE DE;4826;CASEROS;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CH3;IRIGOYEN CORONEL MARTIN DOMINGO;484;CASTELAR;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CHB;RIVADAVIA;12650;CIUDADELA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
BY0;MARCONI INGENIERO GUILLERMO;6595;CIUDAD JARDIN DEL PALOMAR;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CH4;OLAZABAL GENERAL FELIX DE;728;ITUZAINGO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CH1;RIVADAVIA;16380;HAEDO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CH6;DEL LIBERTADOR;556;MERLO;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CH8;ESPAÑA;416;MORENO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CH0;RIVADAVIA;14178;RAMOS MEJIA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CGV;RODRIGUEZ PEÑA;1846;SANTOS LUGARES;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CGY;SANTOS VEGA;6121;VILLA BOSCH;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
BI1;51;456;LA PLATA;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 10.00 A 16.00
BYT;SAN MARTIN;466;CAÑUELAS;BUENOS AIRES;LUN A VIE 09.30 A 15.00
BNB;DORREGO;211;CHASCOMUS;BUENOS AIRES;LUN A VIE 09.00 A 14.00
BJF;NUESTRA SEÑORA DE LA MERCED;110;ENSENADA;BUENOS AIRES;LUN A VIE 09.00 A 16.00
IHK;29;645;MERCEDES;BUENOS AIRES;LUN A VIE 09.00 A 16.00
IJA;BELGRANO DOCTOR MANUEL;1101;BRAGADO;BUENOS AIRES;LUN A VIE 09.00 A 16.00
IKQ;ALBERDI JUAN BAUTISTA;57;CHACABUCO;BUENOS AIRES;LUN A VIE 09.00 A 16.00
IIG;BELGRANO MANUEL;7;CHIVILCOY;BUENOS AIRES;LUN A VIE 09.00 A 16.00
BYO;DEL LIBERTADOR GRAL SAN MARTIN;233;GENERAL RODRIGUEZ;BUENOS AIRES;LUN A VIE 09.00 A 13.00
ICF;SAN MARTIN GENERAL JOSE DE;453;GENERAL VILLEGAS;BUENOS AIRES;LUN A VIE 09.00 A 13.00
IAA;RIVADAVIA;5;JUNIN;BUENOS AIRES;LUN A VIE 08.00 A 15.00 / SAB 09.00 A 14.00
IJV;MITRE BARTOLOME;571;LUJAN;BUENOS AIRES;LUN A VIE 09.30 A 15.30
IEL;MITRE BARTOLOME;794;9 DE JULIO;BUENOS AIRES;LUN A VIE 09.00 A 14.00
IDO;RIVAROLA;345;PEHUAJO;BUENOS AIRES;LUN A VIE 09.00 A 14.00
